,index,company,model,series,year,fuel_type,kms_driven,Price
0,0,Hyundai,Santro Xing,XO eRLX Euro III,2007,Petrol,45000,80000
1,1,Mahindra,Jeep CL550,MDI,2006,Diesel,40,425000
2,3,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2014,Petrol,28000,325000
3,4,Ford,EcoSport Titanium,1.5L TDCi,2014,Diesel,36000,575000
4,6,Ford,Figo,,2012,Diesel,41000,175000
5,7,Hyundai,Eon,,2013,Petrol,25000,190000
6,8,Ford,EcoSport Ambiente,1.5L TDCi,2016,Diesel,24530,830000
7,9,Maruti,Suzuki Alto,K10 VXi AMT,2015,Petrol,60000,250000
8,10,Skoda,Fabia Classic,1.2 MPI,2010,Petrol,60000,182000
9,11,Maruti,Suzuki Stingray,VXi,2015,Petrol,30000,315000
10,12,Hyundai,Elite i20,Magna 1.2,2014,Petrol,32000,415000
11,13,Mahindra,Scorpio SLE,BS IV,2015,Diesel,48660,320000
12,16,Audi,A8,,2017,Petrol,4000,1000000
13,17,Audi,Q7,,2014,Diesel,16934,500000
14,18,Mahindra,Scorpio S10,,2016,Diesel,43000,350000
15,19,Maruti,Suzuki Alto,800,2014,Petrol,35550,160000
16,21,Mahindra,Scorpio S10,,2016,Diesel,39522,310000
17,22,Maruti,Suzuki Alto,800 Vxi,2015,Petrol,39000,75000
18,23,Hyundai,i20 Sportz,1.2,2012,Petrol,55000,100000
19,26,Maruti,Suzuki Alto,800 Lx,2017,Petrol,72000,190000
20,27,Maruti,Suzuki Vitara,Brezza ZDi,2016,Diesel,15975,290000
21,28,Maruti,Suzuki Alto,LX,2008,Petrol,70000,95000
22,29,Mahindra,Bolero DI,,2017,Diesel,23452,180000
23,30,Maruti,Suzuki Swift,Dzire ZDi,2014,Diesel,35522,385000
24,31,Mahindra,Scorpio S10,4WD,2015,Diesel,48508,250000
25,32,Maruti,Suzuki Swift,Vdi BSIII,2017,Petrol,15487,180000
26,33,Maruti,Suzuki Wagon,R VXi BS III,2013,Petrol,39000,105000
27,34,Maruti,Suzuki Wagon,R VXi Minor,2013,Petrol,39000,105000
28,35,Toyota,Innova 2.0,G 8 STR BS IV,2012,Diesel,82000,650000
29,36,Renault,Lodgy 85,PS RXL,2018,Diesel,20000,689999
30,37,Skoda,Yeti Ambition,2.0 TDI CR 4x2,2012,Diesel,68000,448000
31,38,Maruti,Suzuki Baleno,Delta 1.2,2017,Diesel,32000,549000
32,39,Renault,Duster 110,PS RxZ Diesel Plus,2012,Diesel,38000,501000
33,40,Renault,Duster 85,PS RxE Diesel,2013,Diesel,27000,489999
34,41,Honda,City 1.5,S MT,2011,Petrol,33000,280000
35,43,Maruti,Suzuki Dzire,,2013,Diesel,46000,349999
36,44,Honda,Amaze,,2013,Diesel,46000,284999
37,45,Honda,Amaze 1.5,SX i DTEC,2015,Diesel,36000,345000
38,46,Honda,City,,2015,Petrol,55000,499999
39,47,Datsun,Redi GO,S,2017,Petrol,16000,235000
40,48,Maruti,Suzuki SX4,ZXI MT,2010,Petrol,36000,249999
41,49,Mitsubishi,Pajero Sport,Limited Edition,2015,Diesel,47000,1475000
42,56,Mahindra,Scorpio S10,,2015,Diesel,35000,395000
43,57,Maruti,Suzuki Swift,VXi 1.2 ABS BS IV,2017,Petrol,30874,220000
44,58,Honda,City ZX,CVT,2017,Diesel,15000,170000
45,59,Maruti,Suzuki Wagon,R LX BS IV,2013,Petrol,29685,85000
46,62,Tata,Indigo eCS,LS CR4 BS IV,2017,Diesel,130000,200000
47,65,Mahindra,Scorpio SLE,BS IV,2012,Diesel,19000,570000
48,66,Volkswagen,Polo Highline,Exquisite P,2014,Petrol,60000,315000
49,70,Chevrolet,Spark LS,1.0,2010,Petrol,41000,110000
50,71,Renault,Duster 110PS,Diesel RxZ,2012,Diesel,35000,501000
51,72,Honda,City,,2015,Petrol,54000,448999
52,73,Mini,Cooper S,1.6,2013,Petrol,13000,1891111
53,75,Skoda,Fabia 1.2L,Diesel Ambiente,2011,Diesel,38200,159500
54,76,Honda,Amaze,,2015,Petrol,22000,344999
55,78,Renault,Duster,,2014,Diesel,50000,449999
56,79,Mini,Cooper S,1.6,2013,Petrol,13500,1891111
57,80,Mahindra,Scorpio S4,,2015,Diesel,30000,865000
58,81,Mahindra,Scorpio VLX,2WD BS IV,2014,Diesel,50000,699000
59,82,Mahindra,Quanto C8,,2013,Diesel,20000,375000
60,83,Ford,EcoSport,,2017,Petrol,39000,489999
61,84,Honda,Brio,,2012,Petrol,30000,224999
62,86,Volkswagen,Vento Highline,Plus 1.5 Diesel AT,2019,Diesel,3600,1200000
63,87,Hyundai,i20 Magna,,2009,Petrol,32000,195000
64,88,Toyota,Corolla Altis,Diesel D4DG,2010,Diesel,38000,351000
65,89,Hyundai,Verna Transform,SX VTVT,2008,Petrol,45000,160000
66,90,Toyota,Corolla Altis,Petrol Ltd,2009,Petrol,35000,240000
67,91,Honda,City 1.5,EXi New,2005,Petrol,50000,90000
68,93,Skoda,Fabia 1.2L,Diesel Elegance,2011,Diesel,45863,155000
69,94,BMW,3 Series,320i,2011,Petrol,60500,600000
70,95,Maruti,Suzuki A,Star Lxi,2011,Petrol,12500,189500
71,96,Toyota,Etios GD,,2013,Diesel,60000,350000
72,97,Ford,Figo Diesel,EXI Option,2012,Diesel,35000,210000
73,98,Maruti,Suzuki Swift,Dzire VXi 1.2 BS IV,2014,Petrol,35000,390000
74,99,Chevrolet,Beat LT,Diesel,2012,Diesel,45000,135000
75,100,BMW,7 Series,740Li Sedan,2009,Petrol,35000,1600000
76,101,Mahindra,XUV500 W8,AWD 2013,2013,Diesel,38000,701000
77,102,Hyundai,i10 Magna,1.2,2014,Petrol,18000,265000
78,103,Hyundai,Verna Fluidic,New,2015,Diesel,35000,525000
79,104,Maruti,Suzuki Swift,VXi 1.2 BS IV,2013,Petrol,13349,372000
80,105,Maruti,Suzuki Ertiga,ZXI Plus,2016,Petrol,29000,635000
81,106,Ford,EcoSport Titanium,1.5L TDCi,2014,Diesel,44000,550000
82,107,Maruti,Suzuki Ertiga,Vxi,2016,Petrol,29000,575000
83,108,Maruti,Suzuki Ertiga,VDi,2013,Diesel,42000,485000
84,109,Maruti,Suzuki Alto,LXi BS III,2012,Petrol,14000,155000
85,110,Hyundai,Grand i10,Asta 1.1 CRDi,2014,Diesel,49000,345000
86,111,Honda,Amaze 1.2,S i VTEC,2014,Petrol,42000,325000
87,112,Hyundai,i20 Asta,1.4 CRDI 6 Speed,2012,Diesel,36200,329500
88,113,Ford,Figo Diesel,EXI,2014,Diesel,50000,195000
89,114,Maruti,Suzuki Eeco,5 STR WITH AC HTR,2015,Petrol,55000,251111
90,115,Maruti,Suzuki Ertiga,ZXi,2014,Petrol,45000,569999
91,116,Maruti,Suzuki Esteem,LXi BS III,2007,Petrol,51000,69999
92,117,Maruti,Suzuki Ritz,VXI,2014,Petrol,19000,299999
93,118,Maruti,Suzuki Dzire,,2009,Petrol,46000,220000
94,119,Maruti,Suzuki Ritz,LDi,2013,Diesel,33000,399999
95,121,Maruti,Suzuki Dzire,VDI,2015,Diesel,104000,450000
96,122,Toyota,Etios Liva,G,2014,Petrol,55000,270000
97,123,Hyundai,i20 Sportz,1.4 CRDI,2011,Diesel,33333,350000
98,124,Chevrolet,Spark,,2012,Petrol,33600,158400
99,125,Maruti,Suzuki Alto,K10 VXi AMT,2017,Petrol,5600,350000
100,126,Nissan,Micra XV,,2011,Petrol,41000,179000
101,127,Maruti,Suzuki Swift,,2007,Petrol,70000,125000
102,128,Maruti,Suzuki Alto,800,2018,Petrol,7500,200000
103,129,Honda,Amaze 1.5,S i DTEC,2013,Diesel,45000,299000
104,130,Maruti,Suzuki Alto,800 Vxi,2015,Petrol,38000,220000
105,131,Chevrolet,Beat,,2015,Petrol,30000,150000
106,133,Honda,City 1.5,V MT,2010,Petrol,35000,285000
107,134,Ford,EcoSport Trend,1.5L TDCi,2016,Diesel,24330,830000
108,135,Hyundai,i20 Asta,1.2,2009,Petrol,65480,210000
109,136,Maruti,Suzuki Swift,Dzire VXi 1.2 BS IV,2013,Petrol,41000,340000
110,137,Tata,Indica V2,eLS,2006,Petrol,20000,90000
